route_iata_code,Month,total_flights,departures,arrivals,landed,active,scheduled,total_dep_delay,total_dep_delay_15,total_on_time_15,short_delay,medium_delay,long_delay,total_calc_sft,total_calc_aft,total_flight_distance_km,commercial,private,cargo,morning_dep,afternoon_dep,evening_dep,morning_arr,afternoon_arr,evening_arr,avg_tavg_dep,total_prcp_dep,avg_snow_dep,avg_wdir_dep,avg_wspd_dep,avg_wpgt_dep,avg_pres_dep,total_tsun_dep,avg_tavg_arr,total_prcp_arr,avg_snow_arr,avg_wdir_arr,avg_wspd_arr,avg_wpgt_arr,avg_pres_arr,total_tsun_arr,total_passengers
BRU-LIN,2023-04,305,152,153,146,152,6,7068.0,179,111,126,167,12,26167.0,23884.0,214354.0,303,2,0,97,108,100,97,108,100,8.609508196721311,762.0,0.0,159.91475409836065,12.804590163934426,34.50819672131148,1016.5147540983606,0.0,13.515081967213115,181.9,0.0,125.04590163934427,8.381311475409836,29.68098360655738,1013.1940983606557,0.0,32858
BRU-LIN,2023-05,330,164,166,149,167,14,8257.0,213,102,117,200,13,28298.0,26252.0,231923.99999999997,322,8,0,107,121,102,107,116,107,13.045151515151513,681.2,0.0,167.22727272727272,10.718787878787879,29.50151515151515,1021.3327272727272,0.0,18.328484848484848,326.9,0.0,152.36363636363637,7.826060606060606,25.630606060606063,1015.0803030303031,0.0,35301
BRU-LIN,2023-06,326,162,164,157,162,7,9298.0,262,53,64,245,17,27867.0,25484.0,229112.8,314,12,0,103,113,110,103,111,112,19.33067484662577,371.4,0.0,135.08282208588957,9.66165644171779,28.63282208588957,1017.3920245398773,0.0,23.652147239263805,129.0,0.0,170.28220858895705,7.36840490797546,22.43527607361963,1014.4407975460123,0.0,33390
BRU-LIN,2023-07,295,146,149,123,146,26,9980.0,210,77,85,173,37,25249.0,23205.0,207326.0,293,2,0,93,109,93,93,107,95,18.266779661016948,958.8,0.0,236.5220338983051,14.32135593220339,36.38067796610169,1013.3799999999999,0.0,25.57186440677966,119.6,0.0,135.2271186440678,7.256610169491525,22.505084745762712,1013.7752542372882,0.0,32441
BRU-LIN,2023-08,184,91,93,83,92,8,4263.0,109,73,75,102,7,15905.0,14371.0,129315.2,184,0,0,59,98,27,59,95,30,17.66141304347826,483.4,0.0,221.77173913043478,11.808695652173913,30.365760869565218,1013.3233695652174,0.0,24.968478260869563,174.0,0.0,147.39673913043478,7.395652173913043,22.672826086956523,1011.4081521739131,0.0,21077
BRU-LIN,2023-09,303,150,153,145,150,7,6626.0,180,112,123,172,8,25902.0,23617.0,212948.4,294,9,0,100,113,90,100,111,92,18.506270627062705,894.1,0.0,175.76567656765675,10.415511551155117,27.263036303630365,1015.8125412541254,0.0,21.495379537953795,145.5,0.0,174.16171617161717,5.8927392739273925,19.182178217821782,1017.9105610561057,0.0,31308
BRU-LIN,2023-10,332,166,166,158,166,8,6148.0,150,173,182,139,11,28259.0,25623.0,233329.59999999998,320,12,0,113,114,105,109,118,105,13.735542168674698,1290.7,0.0,192.64457831325302,14.650602409638553,33.001807228915666,1009.6704819277107,0.0,17.39367469879518,533.0,0.0,188.69578313253012,5.725903614457831,20.66777108433735,1014.4045180722891,0.0,29776
BRU-LIN,2023-11,311,154,157,154,154,3,5470.0,122,170,189,115,7,26629.0,23466.0,218570.8,309,2,0,96,113,102,96,112,103,7.991639871382637,1388.9,0.0,212.91639871382637,19.177170418006433,42.57170418006431,1006.1858520900321,0.0,8.855627009646302,163.20000000000002,0.0,164.81028938906752,6.332475884244373,22.390353697749195,1009.967845659164,0.0,31308
BRU-LIN,2023-12,283,142,141,140,142,1,5067.0,125,148,158,119,6,24287.0,21500.0,198892.4,281,2,0,93,100,90,92,97,94,6.907067137809188,639.0,0.0,222.80565371024736,19.087632508833924,40.43109540636043,1012.9678445229683,0.0,5.562544169611307,50.2,0.0,248.19434628975264,5.140989399293287,17.151590106007067,1017.0865724381625,0.0,27650
BRU-LIS,2023-01,292,146,146,133,149,10,9110.0,209,73,83,179,30,49940.0,46681.0,501510.0,292,0,0,184,68,40,62,139,91,5.561301369863014,852.6,0.0,191.4041095890411,19.485958904109587,42.60034246575342,1016.0575342465753,0.0,11.321917808219178,322.0,0.0,176.31849315068493,11.999657534246575,32.19760273972603,1026.2167808219178,0.0,38031
