name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Brussels,Belgium",2023-09-05,30.7,14.7,22.3,31.2,14.7,22.4,15.2,67.1,0,0,0,,0,0,28.7,12.3,104.8,1018.2,3.4,10.6,235.5,20.2,8,10,2023-09-05T07:01:49,2023-09-05T20:20:00,0.68,Clear,Clear conditions throughout the day.,clear-day,"06459099999,D0152,06439099999,06450099999,F4778,06447099999,remote,06458099999,06451099999"
"Brussels,Belgium",2023-09-06,29.9,16.1,23,30,16.1,23,16,67.2,0,0,0,,0,0,21.6,11.5,106.4,1018.9,7.2,10,237.9,20.7,8,10,2023-09-06T07:03:21,2023-09-06T20:17:47,0.71,Clear,Clear conditions throughout the day.,clear-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-07,29.7,15.2,22.2,30,15.2,22.3,15.7,69.2,0,0,0,,0,0,25.9,13.2,109.1,1017.9,4.6,10.6,233.2,20.2,8,10,2023-09-07T07:04:54,2023-09-07T20:15:34,0.75,Clear,Clear conditions throughout the day.,clear-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-08,30.4,16.8,23.5,31.5,16.8,23.9,17.8,72.4,0,0,0,,0,0,21.6,10.6,194.2,1016.9,8.8,10,219.4,19,7,10,2023-09-08T07:06:27,2023-09-08T20:13:20,0.78,Clear,Clear conditions throughout the day.,clear-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-09,31.3,17.7,24,32.5,17.7,24.5,18.6,74.6,0,0,0,,0,0,21.3,9.6,134.2,1016.7,4.6,8,209,17.9,7,10,2023-09-09T07:08:00,2023-09-09T20:11:06,0.81,Clear,Clear conditions throughout the day.,clear-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-10,31.7,19.5,25.2,32,19.5,25.5,18.3,68.4,0,0,0,,0,0,21.5,13.3,154.5,1016.5,21.7,9.9,208.6,18,7,10,2023-09-10T07:09:32,2023-09-10T20:08:52,0.84,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-11,27.1,19.2,22.7,27.7,19.2,22.8,17.1,71.6,0.016,100,4.17,rain,0,0,28.7,14.5,255.8,1013.9,43.5,10,157.8,13.6,7,30,2023-09-11T07:11:05,2023-09-11T20:06:37,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-12,24.1,17.7,20.5,24.1,17.7,20.5,17.4,83,0.114,100,12.5,rain,0,0,21.6,11.1,263.1,1013.5,64.7,8.9,123.3,10.7,7,10,2023-09-12T07:12:38,2023-09-12T20:04:23,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-13,21.1,15.1,18.3,21.1,15.1,18.3,15,81.9,0.155,100,12.5,rain,0,0,32.4,17.6,316.1,1017.9,78.1,8.3,150.5,13.1,9,10,2023-09-13T07:14:11,2023-09-13T20:02:08,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-14,21.7,11.6,16.3,21.7,11.6,16.3,12.2,78.4,0,0,0,,0,0,21.5,9.2,88.8,1022,38.2,9.8,179.9,15.5,7,10,2023-09-14T07:15:44,2023-09-14T19:59:52,0.98,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
